total_pop,deaths,family_households,nonfamily_households,rent_burden_not_computed,median_rent,white_pop,income_per_capita,families_with_young_children,income_less_10000,married_households,armed_forces,employed_pop,civilian_labor_force,unemployed_pop,bachelors_degree,in_school,no_cars,four_more_cars,pop_25_64,median_income,median_age,confirmed_cases,
14704,32,4091,2482,178,427,13734,27605,823,430,3418,1,6765,7184,419,1208,2903,418,543,7252,50555,47.4,1426,
21980,50,5259,2400,326,428,20175,21844,1265,559,4092,0,8807,9515,708,1316,4812,391,587,11552,44541,41.4,2911,
21467,52,5162,3061,370,381,18517,23929,1235,931,3859,11,8236,8829,593,1381,4083,530,552,11476,45864,41.8,2670,
19830,27,5013,2567,322,510,17949,26284,1450,374,4105,3,9138,9656,518,1849,4333,734,468,9860,52261,37.9,1995,
17034,19,4070,2062,204,440,14961,24473,905,472,3332,26,7483,7885,402,1492,4369,414,601,9009,54393,40.4,1738,
34442,72,8716,5178,510,520,30659,26253,1997,849,6518,1,15777,16800,1023,3430,8933,938,643,17322,49353,41.2,3259,
51619,64,14236,6594,491,556,45065,29239,3056,1060,11303,0,24713,26444,1731,4669,12546,988,1697,26762,57655,41.9,4603,
50333,50,13822,5184,342,801,43855,31914,3822,918,10972,21,24608,26137,1529,4949,13256,744,1763,26659,71598,37.5,4387,
31597,39,6274,5207,677,511,27861,22527,1539,1482,5111,14,13837,15138,1301,3133,11561,997,546,13293,42911,31.3,2150,
79207,96,19871,11484,787,484,62383,23416,6081,2825,13717,1,31973,34855,2882,5532,17708,3347,1412,39554,44930,40.2,7538,
104473,89,23088,14332,973,758,81117,26511,7082,3271,17185,16,52511,57470,4959,11634,36050,2307,2213,49292,58343,30.7,7491,
29488,43,7167,3844,205,508,25504,26479,1696,507,5767,2,12625,13369,744,2965,6875,639,708,15779,58271,40.6,3094,
33619,72,9596,4220,385,484,29723,28332,2013,668,7524,0,16262,17252,990,2971,7314,790,1018,16739,54271,43.7,3004,
49649,49,13716,6275,508,463,45101,28443,3244,1153,11307,24,22901,24129,1228,5307,11348,1152,1893,25010,55755,42.7,4014,
931826,1066,238768,101901,5115,1118,632342,42050,65312,12667,195487,350,486850,513464,26614,183959,246274,13726,18821,502609,84442,39.1,69285,
264433,387,66928,36197,3273,613,164262,28643,20042,9718,45135,3110,117401,127381,9980,28056,68647,9862,5501,139977,51103,38,22343,
13393,35,3786,1838,216,323,12908,25700,908,360,2889,0,6348,6682,334,1037,2672,305,372,6823,47427,44,1312,
32829,63,7627,4433,340,466,27908,24716,1740,612,5839,23,13296,13910,614,2189,6290,732,790,18141,49717,41.5,3715,
28457,54,7903,3942,355,468,25709,26480,1738,616,6182,6,13219,14142,923,1867,6318,529,872,14261,48857,44.3,2597,
11568,11,3214,1701,211,407,10983,25105,803,468,2706,0,5291,5727,436,1055,2658,344,354,5800,49716,42.8,1179,
36812,58,9515,4864,383,527,32847,27318,2391,802,7155,18,16084,17029,945,2482,8073,1017,890,19174,54339,41.6,3647,
56823,134,15320,8148,472,515,48237,28188,3983,1140,11643,32,26553,28260,1707,4647,12631,1618,1672,28610,51969,42.9,5261,
51374,113,12048,8933,764,454,42830,23676,2979,1638,8884,29,21330,22776,1446,4094,11806,1897,1023,25523,41972,42.2,4589,
33739,70,10007,3220,90,674,32575,37043,2206,364,8454,9,17657,18475,818,4572,7984,561,1284,18115,74410,42.3,3587,
110801,171,26994,13245,825,686,79961,26150,7940,2907,19626,73,49811,53839,4028,9028,29410,3196,2420,55723,56542,37.7,11488,
122933,71,31835,8047,241,1086,87482,33369,10857,961,25467,0,63352,66666,3314,17324,36631,719,3221,65608,89860,34.5,9715,
207946,95,42681,38737,4259,708,142105,28463,13445,11235,32222,84,103099,108781,5682,26436,80344,9354,2958,95934,49586,29.7,15485,
66787,94,17706,9755,550,486,61471,27256,5016,1750,14128,25,32243,34117,1874,6821,15078,2015,1702,33379,48454,41.5,7371,
53638,65,13791,4918,297,689,39692,29029,3661,840,10690,55,25060,27254,2194,4580,15006,796,1637,27104,62701,38.3,5549,
5238541,8544,1182951,773610,53254,911,2235598,33722,381446,159387,802416,1302,2521437,2762042,240605,796547,1331311,346996,62028,2870236,59426,36.4,435888,
173231,129,40560,25510,1851,702,138256,32943,12231,5121,32281,48,91152,94855,3703,31061,56285,4139,3484,84018,64573,32.7,13244,
529402,631,130292,45638,2523,921,304696,33486,41109,7296,102217,103,262971,280346,17375,71465,149683,8120,13961,276352,74862,36.6,46063,
687727,800,171194,55474,3201,917,445263,33731,49789,8145,135833,239,342710,364671,21961,95679,194166,8311,18980,364527,80782,37.3,58408,
704476,819,179683,64840,4259,983,442289,42388,50381,10052,144036,10283,347792,371027,23235,118151,194575,11489,16042,365909,82613,38,53439,
4161,8,898,554,67,252,3875,20025,158,160,721,0,1303,1675,372,280,755,129,101,2273,39524,46.8,303,
5226,3,1481,791,162,290,5009,24538,317,181,1112,0,2133,2313,180,358,1128,143,212,2555,42450,44.8,388,
10598,10,2710,1297,164,348,10214,19424,615,360,2069,7,4241,4432,191,486,2321,179,462,5538,40067,43.7,773,
17062,8,4307,1805,344,410,16179,21636,1180,431,3424,0,6734,7185,451,1056,3383,426,469,9011,44643,42.2,1305,
15290,35,4272,2093,324,533,14578,28507,819,162,3395,0,7430,7725,295,1515,3245,202,631,7893,53931,44.5,1297,
16765,18,4880,1792,193,510,16111,23749,1037,597,3672,0,7403,7771,368,1122,3705,406,547,8588,47955,41.6,1577,
8685,10,2227,1170,80,504,8062,23652,665,161,1719,0,4126,4307,181,744,2024,92,282,4363,49183,40.9,853,
16620,28,4604,2383,296,458,15882,25383,1164,373,3563,7,7335,7828,493,1074,3620,323,725,8345,46669,43,1807,
19994,16,5498,2321,171,511,18837,26589,1311,236,4587,0,9492,10011,519,1528,4472,371,975,10250,56188,42.3,1540,
5911,7,1732,747,45,535,5718,27715,330,112,1506,0,3041,3146,105,384,1077,124,271,3201,58359,46.8,472,
10219,13,2783,1468,134,391,9932,25138,648,283,2165,110,4804,5016,212,457,2270,212,569,5287,49372,42,708,
23426,49,6490,2920,265,492,22449,22428,1336,870,4552,0,9696,10487,791,1228,5072,818,833,11944,41476,42.4,2562,
15644,33,4041,2492,320,407,15147,23891,919,481,3055,9,6440,6785,345,985,3502,322,501,8013,45440,43.2,1459,
